"['Ankuoo NEO Smart Switch', 'http://www.ankuoo.com/products/?sort=2', 'SS-446', '1', '20.43']"
"['GreenIQ Smart Garden', 'http://greeniq.co/', 'IRS-880', '2', '202.1']"
"['GreenIQ Smart Garden', 'http://greeniq.co/', 'IRS-177', '2', '244.82']"
"['GreenIQ Smart Garden', 'http://greeniq.co/', 'IRS-489', '2', '204.01']"
"['GreenIQ Smart Garden', 'http://greeniq.co/', 'IRS-904', '2', '194.39']"
"['GreenIQ Smart Garden', 'http://greeniq.co/', 'IRS-310', '2', '266.08']"
"['GreenIQ Smart Garden', 'http://greeniq.co/', 'IRS-513', '2', '221.26']"
"['Neurio Energy Monitor', 'https://www.neur.io/', 'EM-804', '3', '191.67']"
"['Neurio Energy Monitor', 'https://www.neur.io/', 'EM-599', '3', '224.21']"
"['Neurio Energy Monitor', 'https://www.neur.io/', 'EM-656', '3', '278.92']"
"['Neurio Energy Monitor', 'https://www.neur.io/', 'EM-507', '3', '336.58']"
"['Neurio Energy Monitor', 'https://www.neur.io/', 'EM-774', '3', '236.68']"
"['Neurio Energy Monitor', 'https://www.neur.io/', 'EM-371', '3', '243.09']"
"['Eyedro Electricity Monitor', 'http://eyedro.com/home-electricity-monitors/', 'EM-205', '3', '362.25']"
"['Eyedro Electricity Monitor', 'http://eyedro.com/home-electricity-monitors/', 'EM-555', '3', '304.87']"
"['Eyedro Electricity Monitor', 'http://eyedro.com/home-electricity-monitors/', 'EM-14', '3', '341.63']"
"['Eyedro Electricity Monitor', 'http://eyedro.com/home-electricity-monitors/', 'EM-964', '3', '463.91']"
"['Eyedro Electricity Monitor', 'http://eyedro.com/home-electricity-monitors/', 'EM-485', '3', '305.51']"
"['Eyedro Electricity Monitor', 'http://eyedro.com/home-electricity-monitors/', 'EM-70', '3', '314.46']"
"['Smappee Electicity Monitor', 'http://www.smappee.com/eu_es/monitor-de-energia/', 'EM-660', '3', '233.38']"
"['Smappee Electicity Monitor', 'http://www.smappee.com/eu_es/monitor-de-energia/', 'EM-909', '3', '295.41']"
"['Smappee Electicity Monitor', 'http://www.smappee.com/eu_es/monitor-de-energia/', 'EM-544', '3', '411.76']"
"['Smappee Electicity Monitor', 'http://www.smappee.com/eu_es/monitor-de-energia/', 'EM-512', '3', '311.05']"
"['Smappee Gas&Water Monitor', 'http://www.smappee.com/eu_es/monitor-de-agua-y-gas/', 'GWM-72', '4', '454.57']"
"['Smappee Gas&Water Monitor', 'http://www.smappee.com/eu_es/monitor-de-agua-y-gas/', 'GWM-348', '4', '514.97']"
"['Smappee Gas&Water Monitor', 'http://www.smappee.com/eu_es/monitor-de-agua-y-gas/', 'GWM-995', '4', '359.55']"
"['Smappee Gas&Water Monitor', 'http://www.smappee.com/eu_es/monitor-de-agua-y-gas/', 'GWM-959', '4', '452.58']"
"['AcuRite Sensors', 'https://www.acurite.com/indoor-outdoor-thermometer-humidity-sensor-hd-display-my-acurite.html', 'THM-866', '5', '81.62']"
"['AcuRite Sensors', 'https://www.acurite.com/indoor-outdoor-thermometer-humidity-sensor-hd-display-my-acurite.html', 'THM-569', '5', '84.14']"
"['AcuRite Sensors', 'https://www.acurite.com/indoor-outdoor-thermometer-humidity-sensor-hd-display-my-acurite.html', 'THM-154', '5', '88.39']"
"['AcuRite Sensors', 'https://www.acurite.com/indoor-outdoor-thermometer-humidity-sensor-hd-display-my-acurite.html', 'THM-100', '5', '88.04']"
"['AcuRite Sensors', 'https://www.acurite.com/indoor-outdoor-thermometer-humidity-sensor-hd-display-my-acurite.html', 'THM-413', '5', '95.18']"
"['AcuRite Sensors', 'https://www.acurite.com/indoor-outdoor-thermometer-humidity-sensor-hd-display-my-acurite.html', 'THM-684', '5', '117.06']"
"['Keen Temp&Air Control', 'https://keenhome.io/', 'THM-294', '5', '126.31']"
"['Keen Temp&Air Control', 'https://keenhome.io/', 'THM-810', '5', '126.26']"
"['Keen Temp&Air Control', 'https://keenhome.io/', 'THM-137', '5', '89.88']"
"['Keen Temp&Air Control', 'https://keenhome.io/', 'THM-685', '5', '134.2']"
"['Keen Temp&Air Control', 'https://keenhome.io/', 'THM-343', '5', '101.57']"
"['Keen Temp&Air Control', 'https://keenhome.io/', 'THM-611', '5', '130.02']"
"['ConnectSense Temperature Sensor', 'https://www.connectsense.com/wireless-temperature-sensor', 'THM-143', '5', '85.6']"
"['ConnectSense Temperature Sensor', 'https://www.connectsense.com/wireless-temperature-sensor', 'THM-541', '5', '79.19']"
"['ConnectSense Temperature Sensor', 'https://www.connectsense.com/wireless-temperature-sensor', 'THM-136', '5', '72.28']"
"['ConnectSense Temperature Sensor', 'https://www.connectsense.com/wireless-temperature-sensor', 'THM-819', '5', '91.38']"
"['ConnectSense Temperature Sensor', 'https://www.connectsense.com/wireless-temperature-sensor', 'THM-595', '5', '94.21']"
"['ConnectSense Temperature Sensor', 'https://www.connectsense.com/wireless-temperature-sensor', 'THM-956', '5', '91.87']"
"['SensorPush Monitors', 'http://www.sensorpush.com/', 'THM-153', '5', '97.07']"
"['SensorPush Monitors', 'http://www.sensorpush.com/', 'THM-578', '5', '104.67']"
"['SensorPush Monitors', 'http://www.sensorpush.com/', 'THM-760', '5', '141.22']"
"['SensorPush Monitors', 'http://www.sensorpush.com/', 'THM-705', '5', '124.96']"
"['SensorPush Monitors', 'http://www.sensorpush.com/', 'THM-812', '5', '134.51']"
"['SensorPush Monitors', 'http://www.sensorpush.com/', 'THM-519', '5', '81.23']"
"['LIFX SmartBulbs', 'https://www.lifx.com/', 'SLB-116', '6', '45.16']"
"['LIFX SmartBulbs', 'https://www.lifx.com/', 'SLB-31', '6', '65.03']"
"['LIFX SmartBulbs', 'https://www.lifx.com/', 'SLB-331', '6', '54.87']"
"['LIFX SmartBulbs', 'https://www.lifx.com/', 'SLB-323', '6', '54.67']"
"['LIFX SmartBulbs', 'https://www.lifx.com/', 'SLB-546', '6', '46.07']"
"['LIFX SmartBulbs', 'https://www.lifx.com/', 'SLB-54', '6', '53.07']"
"['Phillips Hue Bulbs', 'http://www2.meethue.com/en-us/productdetail/philips-hue-white-and-color-ambiance-br30-e26', 'SLB-234', '6', '54.88']"
"['Phillips Hue Bulbs', 'http://www2.meethue.com/en-us/productdetail/philips-hue-white-and-color-ambiance-br30-e26', 'SLB-145', '6', '88.42']"
"['Phillips Hue Bulbs', 'http://www2.meethue.com/en-us/productdetail/philips-hue-white-and-color-ambiance-br30-e26', 'SLB-452', '6', '84.32']"
"['Phillips Hue Bulbs', 'http://www2.meethue.com/en-us/productdetail/philips-hue-white-and-color-ambiance-br30-e26', 'SLB-890', '6', '65.65']"
"['Phillips Hue Bulbs', 'http://www2.meethue.com/en-us/productdetail/philips-hue-white-and-color-ambiance-br30-e26', 'SLB-105', '6', '79.08']"
"['Phillips Hue Bulbs', 'http://www2.meethue.com/en-us/productdetail/philips-hue-white-and-color-ambiance-br30-e26', 'SLB-803', '6', '88.92']"
"['FluxSmart Bulbs', 'https://www.fluxsmartlighting.com/products/flux-bluetooth', 'SLB-766', '6', '106.01']"
"['FluxSmart Bulbs', 'https://www.fluxsmartlighting.com/products/flux-bluetooth', 'SLB-550', '6', '108.86']"
"['FluxSmart Bulbs', 'https://www.fluxsmartlighting.com/products/flux-bluetooth', 'SLB-347', '6', '81.63']"
"['FluxSmart Bulbs', 'https://www.fluxsmartlighting.com/products/flux-bluetooth', 'SLB-84', '6', '85.89']"
"['FluxSmart Bulbs', 'https://www.fluxsmartlighting.com/products/flux-bluetooth', 'SLB-764', '6', '76.98']"
"['August Smart Lock', 'http://august.com/products/august-smart-lock/', 'SLK-513', '7', '137.54']"
"['August Smart Lock', 'http://august.com/products/august-smart-lock/', 'SLK-658', '7', '197.39']"
"['August Smart Lock', 'http://august.com/products/august-smart-lock/', 'SLK-853', '7', '136.83']"
"['August Doorbell Cam', 'http://august.com/products/doorbell-camera/', 'SLK-901', '7', '104.53']"
"['August Doorbell Cam', 'http://august.com/products/doorbell-camera/', 'SLK-789', '7', '131.71']"
"['August Doorbell Cam', 'http://august.com/products/doorbell-camera/', 'SLK-569', '7', '128.64']"
"['August Doorbell Cam', 'http://august.com/products/doorbell-camera/', 'SLK-442', '7', '107.54']"
"['August Doorbell Cam', 'http://august.com/products/doorbell-camera/', 'SLK-364', '7', '123.31']"
"['Lockitron Bolt', 'https://lockitron.com/', 'SLK-557', '7', '190.39']"
"['Lockitron Bolt', 'https://lockitron.com/', 'SLK-954', '7', '158.85']"
"['Lockitron Bolt', 'https://lockitron.com/', 'SLK-30', '7', '105.48']"
"['Lockitron Bolt', 'https://lockitron.com/', 'SLK-292', '7', '146.51']"
"['Lockitron Bolt', 'https://lockitron.com/', 'SLK-405', '7', '156.71']"
"['Lockitron Bolt', 'https://lockitron.com/', 'SLK-835', '7', '144.25']"
"['Chipolo Tracker', 'https://chipolo.net/products', 'TKR-709', '8', '68.43']"
"['Chipolo Tracker', 'https://chipolo.net/products', 'TKR-448', '8', '57.59']"
"['Chipolo Tracker', 'https://chipolo.net/products', 'TKR-319', '8', '68.19']"
"['Lapa KeyTracker', 'https://findlapa.com/', 'TKR-366', '8', '57.95']"
"['Lapa KeyTracker', 'https://findlapa.com/', 'TKR-381', '8', '43.55']"
"['Lapa KeyTracker', 'https://findlapa.com/', 'TKR-654', '8', '54.62']"
"['Lapa KeyTracker', 'https://findlapa.com/', 'TKR-396', '8', '57.58']"
"['Lapa KeyTracker', 'https://findlapa.com/', 'TKR-480', '8', '55.87']"
"['Neposmart Outdoor Camera', 'https://neposmart.com/outdoor-camera/', 'CAM-200', '9', '748.36']"
"['Neposmart Outdoor Camera', 'https://neposmart.com/outdoor-camera/', 'CAM-345', '9', '549.74']"
"['Neposmart Outdoor Camera', 'https://neposmart.com/outdoor-camera/', 'CAM-496', '9', '439.05']"
"['Neposmart Outdoor Camera', 'https://neposmart.com/outdoor-camera/', 'CAM-628', '9', '328.98']"
"['Neposmart Outdoor Camera', 'https://neposmart.com/outdoor-camera/', 'CAM-461', '9', '480.56']"
"['Neposmart Outdoor Camera', 'https://neposmart.com/outdoor-camera/', 'CAM-429', '9', '509.52']"
"['Neposmart Indoor Camera', 'https://neposmart.com/indoor-camera/', 'CAM-69', '9', '485.84']"
"['Neposmart Indoor Camera', 'https://neposmart.com/indoor-camera/', 'CAM-706', '9', '552.56']"
"['Neposmart Indoor Camera', 'https://neposmart.com/indoor-camera/', 'CAM-158', '9', '546.13']"
"['Neposmart Indoor Camera', 'https://neposmart.com/indoor-camera/', 'CAM-765', '9', '337.66']"
