OrdenID,MaterialID,Cantidad,PrecioUnitario,PrecioTotal
5,127,39,1.04,40.56
5,128,48,0.58,27.84
5,130,41,0.62,25.42
5,131,47,0.21,9.87
5,135,30,0.29,8.7
5,140,56,0.42,23.52
5,141,43,0.62,26.66
5,151,41,0.76,31.16
5,153,24,0.82,19.68
6,8,29,0.53,15.37
6,12,25,0.98,24.5
6,13,43,0.72,30.96
6,15,29,1.13,32.77
6,16,42,1.08,45.36
6,24,35,0.15,5.25
6,25,41,0.28,11.48
6,27,24,0.92,22.08
6,28,41,0.43,17.63
6,29,45,0.41,18.45
6,30,32,0.44,14.08
6,35,55,1.08,59.4
6,41,47,0.86,40.42
6,42,30,0.17,5.1
6,45,47,0.79,37.13
6,47,47,0.32,15.04
6,53,40,0.47,18.8
6,55,32,0.73,23.36
6,60,44,0.62,27.28
6,61,24,0.52,12.48
6,62,33,0.37,12.21
6,64,34,0.18,6.12
6,65,41,0.4,16.4
6,69,39,0.21,8.19
6,71,47,0.9,42.3
6,73,47,0.33,15.51
6,76,39,0.33,12.87
6,78,43,1.03,44.29
6,85,56,0.4,22.4
6,86,47,0.31,14.57
6,87,44,0.78,34.32
6,90,34,1.09,37.06
6,91,39,1.13,44.07
6,93,51,0.34,17.34
6,97,36,0.46,16.56
6,103,27,1.1,29.7
6,104,38,0.99,37.62
6,106,34,0.93,31.62
6,110,51,0.57,29.07
6,111,53,0.21,11.13
6,114,45,0.57,25.65
6,115,36,0.44,15.84
6,118,42,0.33,13.86
6,132,43,0.17,7.31
6,133,38,0.2,7.6
6,136,43,0.57,24.51
6,137,44,1.01,44.44
6,138,58,0.7,40.6
6,142,55,1.08,59.4
6,146,46,0.95,43.7
6,148,28,1.04,29.12
6,150,31,0.6,18.6
6,152,44,1.14,50.16
6,153,40,0.82,32.8
6,154,36,0.4,14.4
7,3,28,0.26,7.28
7,5,44,0.24,10.56
7,6,52,0.46,23.92
7,7,53,0.51,27.03
7,10,27,0.71,19.17
7,11,46,0.64,29.44
7,12,30,0.98,29.4
7,14,38,1.02,38.76
7,19,47,0.34,15.98
7,20,66,0.8,52.8
7,21,34,1.14,38.76
7,23,53,0.6,31.8
7,31,29,0.59,17.11
7,32,63,0.64,40.32
7,33,36,0.42,15.12
7,34,42,0.39,16.38
7,38,33,0.96,31.68
7,39,42,0.89,37.38
7,49,41,0.39,15.99
7,50,35,0.54,18.9
7,51,31,0.98,30.38
7,52,22,0.82,18.04
7,54,64,1.09,69.76
7,56,33,0.86,28.38
7,57,39,0.42,16.38
7,58,57,0.16,9.12
7,59,42,0.55,23.1
7,63,32,0.3,9.6
7,66,45,0.53,23.85
7,68,30,0.37,11.1
7,69,42,0.21,8.82
7,70,43,0.17,7.31
7,74,45,0.48,21.6
7,79,27,0.31,8.37
7,81,40,0.43,17.2
7,83,44,0.52,22.88
7,84,34,1.07,36.38
7,91,42,1.13,47.46
7,92,38,0.18,6.84
7,93,59,0.34,20.06
7,94,36,0.97,34.92
7,95,49,0.6,29.4
7,96,35,0.47,16.45
7,99,51,0.16,8.16
7,100,24,0.86,20.64
7,105,41,0.74,30.34
7,108,29,0.72,20.88
7,109,40,1.12,44.8
7,112,27,0.84,22.68
7,113,27,0.91,24.57
7,116,28,0.3,8.4
7,117,57,0.5,28.5
7,119,35,1.1,38.5
7,120,36,0.62,22.32
7,122,33,0.33,10.89
7,123,44,0.45,19.8
7,125,43,0.61,26.23
7,128,45,0.58,26.1
7,129,28,1.13,31.64
7,134,36,0.95,34.2
7,139,34,0.92,31.28
7,141,60,0.62,37.2
7,143,39,1.1,42.9
7,144,48,1.01,48.48
7,145,34,1.14,38.76
7,147,39,0.99,38.61
7,148,35,1.04,36.4
7,149,45,0.27,12.15
7,153,41,0.82,33.62
8,1,38,0.85,32.3
8,3,34,0.26,8.84
8,4,27,0.55,14.85
8,5,28,0.24,6.72
8,8,44,0.53,23.32
8,9,55,0.44,24.2
8,10,34,0.71,24.14
8,12,25,0.98,24.5
8,16,40,1.08,43.2
8,17,34,1.04,35.36
8,26,46,0.65,29.9
8,27,32,0.92,29.44
8,28,31,0.43,13.33
8,35,52,1.08,56.16
8,36,33,1.07,35.31
8,40,25,0.78,19.5
8,44,34,0.16,5.44
8,48,31,0.24,7.44
8,53,46,0.47,21.62
8,62,33,0.37,12.21
8,64,39,0.18,7.02
8,65,23,0.4,9.2
8,69,27,0.21,5.67
8,71,36,0.9,32.4
8,79,28,0.31,8.68
8,80,37,0.72,26.64
8,82,40,0.41,16.4
8,87,44,0.78,34.32
8,93,58,0.34,19.72
8,97,48,0.46,22.08
8,101,46,1.13,51.98
8,102,43,0.39,16.77
8,103,51,1.1,56.1
8,106,40,0.93,37.2
8,107,37,0.82,30.34
8,110,49,0.57,27.93
8,127,31,1.04,32.24
8,128,25,0.58,14.5
8,130,49,0.62,30.38
8,131,49,0.21,10.29
8,138,25,0.7,17.5
8,140,38,0.42,15.96
8,142,31,1.08,33.48
8,152,41,1.14,46.74
9,5,44,0.24,10.56
9,13,36,0.72,25.92
9,20,51,0.8,40.8
9,22,30,0.52,15.6
9,23,42,0.6,25.2
9,24,26,0.15,3.9
9,29,47,0.41,19.27
9,30,56,0.44,24.64
9,32,37,0.64,23.68
9,33,31,0.42,13.02
9,43,22,0.24,5.28
9,45,39,0.79,30.81
9,46,47,0.73,34.31
9,47,37,0.32,11.84
9,50,37,0.54,19.98
9,56,35,0.86,30.1
9,59,36,0.55,19.8
9,63,48,0.3,14.4
9,67,32,1.03,32.96
9,68,36,0.37,13.32
9,69,46,0.21,9.66
9,76,47,0.33,15.51
9,85,42,0.4,16.8
9,88,29,0.24,6.96
9,90,32,1.09,34.88
9,94,39,0.97,37.83
9,95,44,0.6,26.4
9,99,35,0.16,5.6
9,104,37,0.99,36.63
9,108,21,0.72,15.12
9,114,46,0.57,26.22
9,118,52,0.33,17.16
9,120,50,0.62,31.0
9,121,50,0.75,37.5
9,122,49,0.33,16.17
9,123,45,0.45,20.25
9,125,42,0.61,25.62
9,128,39,0.58,22.62
9,132,49,0.17,8.33
9,133,37,0.2,7.4
9,135,28,0.29,8.12
9,136,39,0.57,22.23
9,141,42,0.62,26.04
9,142,44,1.08,47.52
9,145,41,1.14,46.74
9,148,33,1.04,34.32
9,149,33,0.27,8.91
10,5,65,0.24,15.6
10,7,24,0.51,12.24
10,11,43,0.64,27.52
10,12,42,0.98,41.16
10,13,34,0.72,24.48
10,20,71,0.8,56.8
10,22,47,0.52,24.44
10,23,41,0.6,24.6
10,24,61,0.15,9.15
10,25,37,0.28,10.36
10,27,31,0.92,28.52
10,28,27,0.43,11.61
10,29,39,0.41,15.99
10,30,53,0.44,23.32
10,31,33,0.59,19.47
10,32,55,0.64,35.2
10,33,65,0.42,27.3
10,35,47,1.08,50.76
10,36,32,1.07,34.24
10,38,32,0.96,30.72
10,40,26,0.78,20.28
10,41,37,0.86,31.82
10,43,53,0.24,12.72
10,44,50,0.16,8.0
10,45,55,0.79,43.45
10,46,70,0.73,51.1
10,47,70,0.32,22.4
10,49,28,0.39,10.92
10,50,59,0.54,31.86
10,52,35,0.82,28.7
10,54,38,1.09,41.42
10,55,45,0.73,32.85
10,56,43,0.86,36.98
10,57,33,0.42,13.86
10,59,50,0.55,27.5
10,60,50,0.62,31.0
10,63,65,0.3,19.5
10,64,45,0.18,8.1
10,66,59,0.53,31.27
10,67,51,1.03,52.53
10,68,48,0.37,17.76
10,69,71,0.21,14.91
10,70,25,0.17,4.25
10,71,40,0.9,36.0
10,73,37,0.33,12.21
10,74,35,0.48,16.8
10,75,31,0.46,14.26
10,76,59,0.33,19.47
10,78,56,1.03,57.68
10,79,42,0.31,13.02
10,80,30,0.72,21.6
10,81,24,0.43,10.32
10,85,46,0.4,18.4
10,88,48,0.24,11.52
10,90,42,1.09,45.78
10,91,28,1.13,31.64
10,93,54,0.34,18.36
10,94,51,0.97,49.47
10,95,66,0.6,39.6
10,96,42,0.47,19.74
10,97,42,0.46,19.32
10,99,57,0.16,9.12
10,101,41,1.13,46.33
10,103,42,1.1,46.2
10,104,48,0.99,47.52
10,105,42,0.74,31.08
10,108,38,0.72,27.36
10,109,26,1.12,29.12
10,112,43,0.84,36.12
10,113,37,0.91,33.67
10,114,64,0.57,36.48
10,116,35,0.3,10.5
10,117,32,0.5,16.0
10,118,67,0.33,22.11
10,119,47,1.1,51.7
10,120,77,0.62,47.74
10,121,62,0.75,46.5
10,122,74,0.33,24.42
10,123,55,0.45,24.75
10,125,48,0.61,29.28
10,127,42,1.04,43.68
10,128,61,0.58,35.38
10,129,39,1.13,44.07
10,132,58,0.17,9.86
10,133,49,0.2,9.8
10,135,53,0.29,15.37
10,136,47,0.57,26.79
10,138,57,0.7,39.9
10,139,53,0.92,48.76
10,140,38,0.42,15.96
10,141,61,0.62,37.82
10,142,66,1.08,71.28
10,143,29,1.1,31.9
10,145,56,1.14,63.84
10,147,28,0.99,27.72
10,148,66,1.04,68.64
10,149,57,0.27,15.39
10,151,50,0.76,38.0
10,153,38,0.82,31.16
10,154,42,0.4,16.8
11,1,24,0.85,20.4
11,3,57,0.26,14.82
11,4,45,0.55,24.75
11,6,43,0.46,19.78
11,10,60,0.71,42.6
11,15,36,1.13,40.68
11,16,37,1.08,39.96
11,17,68,1.04,70.72
11,19,39,0.34,13.26
11,26,44,0.65,28.6
11,28,36,0.43,15.48
11,30,31,0.44,13.64
11,34,27,0.39,10.53
11,36,29,1.07,31.03
11,39,52,0.89,46.28
11,42,39,0.17,6.63
11,45,35,0.79,27.65
11,53,35,0.47,16.45
11,54,41,1.09,44.69
11,58,31,0.16,4.96
11,61,53,0.52,27.56
11,62,55,0.37,20.35
11,65,36,0.4,14.4
11,69,40,0.21,8.4
11,76,32,0.33,10.56
11,79,32,0.31,9.92
11,83,49,0.52,25.48
11,84,31,1.07,33.17
11,86,47,0.31,14.57
11,87,58,0.78,45.24
11,89,35,0.32,11.2
11,92,59,0.18,10.62
11,93,31,0.34,10.54
11,101,36,1.13,40.68
11,106,50,0.93,46.5
11,107,32,0.82,26.24
11,110,29,0.57,16.53
11,115,48,0.44,21.12
11,123,43,0.45,19.35
11,124,42,0.26,10.92
11,131,35,0.21,7.35
11,137,48,1.01,48.48
11,141,32,0.62,19.84
11,142,38,1.08,41.04
11,144,41,1.01,41.41
11,145,37,1.14,42.18
11,152,55,1.14,62.7
12,2,31,0.53,16.43
12,3,42,0.26,10.92
12,5,27,0.24,6.48
12,7,47,0.51,23.97
12,12,53,0.98,51.94
12,13,51,0.72,36.72
12,20,48,0.8,38.4
12,23,35,0.6,21.0
12,25,40,0.28,11.2
12,27,32,0.92,29.44
12,29,22,0.41,9.02
12,32,30,0.64,19.2
12,33,41,0.42,17.22
12,35,36,1.08,38.88
12,48,50,0.24,12.0
12,50,42,0.54,22.68
12,56,39,0.86,33.54
12,60,56,0.62,34.72
12,63,69,0.3,20.7
12,66,35,0.53,18.55
12,68,40,0.37,14.8
12,70,44,0.17,7.48
12,75,34,0.46,15.64
12,77,39,0.73,28.47
12,80,55,0.72,39.6
12,84,40,1.07,42.8
12,85,53,0.4,21.2
12,90,28,1.09,30.52
12,93,47,0.34,15.98
12,94,34,0.97,32.98
12,97,39,0.46,17.94
12,100,29,0.86,24.94
12,104,38,0.99,37.62
12,108,47,0.72,33.84
12,111,48,0.21,10.08
12,114,50,0.57,28.5
12,117,31,0.5,15.5
12,120,62,0.62,38.44
12,122,40,0.33,13.2
12,125,34,0.61,20.74
12,127,54,1.04,56.16
12,128,47,0.58,27.26
12,134,49,0.95,46.55
12,136,44,0.57,25.08
12,138,52,0.7,36.4
12,141,26,0.62,16.12
12,143,26,1.1,28.6
12,146,27,0.95,25.65
12,150,30,0.6,18.0
12,153,46,0.82,37.72
13,1,44,0.85,37.4
13,4,37,0.55,20.35
13,8,45,0.53,23.85
13,9,52,0.44,22.88
13,14,42,1.02,42.84
13,16,25,1.08,27.0
13,20,36,0.8,28.8
13,24,71,0.15,10.65
13,29,44,0.41,18.04
13,31,47,0.59,27.73
13,32,37,0.64,23.68
13,38,27,0.96,25.92
13,41,29,0.86,24.94
13,44,44,0.16,7.04
13,45,43,0.79,33.97
13,47,28,0.32,8.96
13,49,56,0.39,21.84
13,54,43,1.09,46.87
13,62,40,0.37,14.8
13,69,34,0.21,7.14
13,71,40,0.9,36.0
13,73,48,0.33,15.84
13,76,32,0.33,10.56
13,91,65,1.13,73.45
13,95,57,0.6,34.2
13,96,44,0.47,20.68
13,98,34,0.21,7.14
13,99,39,0.16,6.24
13,101,43,1.13,48.59
13,102,41,0.39,15.99
13,103,30,1.1,33.0
13,105,35,0.74,25.9
13,107,51,0.82,41.82
13,110,28,0.57,15.96
13,112,36,0.84,30.24
13,117,33,0.5,16.5
13,122,29,0.33,9.57
13,129,22,1.13,24.86
13,130,45,0.62,27.9
13,132,27,0.17,4.59
13,133,40,0.2,8.0
13,142,39,1.08,42.12
13,147,30,0.99,29.7
13,148,43,1.04,44.72
13,149,47,0.27,12.69
13,154,34,0.4,13.6
14,2,48,0.53,25.44
14,3,44,0.26,11.44
14,5,36,0.24,8.64
14,6,29,0.46,13.34
14,10,32,0.71,22.72
14,11,39,0.64,24.96
14,17,37,1.04,38.48
14,21,26,1.14,29.64
14,23,42,0.6,25.2
14,26,41,0.65,26.65
14,28,30,0.43,12.9
14,34,51,0.39,19.89
14,35,48,1.08,51.84
14,36,36,1.07,38.52
14,40,25,0.78,19.5
14,43,43,0.24,10.32
14,46,34,0.73,24.82
14,50,26,0.54,14.04
14,51,36,0.98,35.28
14,61,49,0.52,25.48
14,63,38,0.3,11.4
14,64,42,0.18,7.56
14,66,77,0.53,40.81
14,68,41,0.37,15.17
14,70,32,0.17,5.44
14,72,37,0.93,34.41
14,74,46,0.48,22.08
14,75,48,0.46,22.08
14,78,41,1.03,42.23
14,79,39,0.31,12.09
14,80,28,0.72,20.16
14,81,34,0.43,14.62
14,83,52,0.52,27.04
14,86,42,0.31,13.02
14,87,53,0.78,41.34
14,88,32,0.24,7.68
14,93,36,0.34,12.24
14,94,41,0.97,39.77
14,99,21,0.16,3.36
14,106,37,0.93,34.41
14,109,49,1.12,54.88
14,113,33,0.91,30.03
14,114,39,0.57,22.23
14,116,38,0.3,11.4
14,118,42,0.33,13.86
14,119,35,1.1,38.5
14,121,46,0.75,34.5
14,122,43,0.33,14.19
14,123,51,0.45,22.95
14,135,27,0.29,7.83
14,138,40,0.7,28.0
14,139,57,0.92,52.44
14,140,41,0.42,17.22
14,141,43,0.62,26.66
14,144,42,1.01,42.42
14,145,56,1.14,63.84
14,152,55,1.14,62.7
14,153,29,0.82,23.78
15,12,64,0.98,62.72
15,13,38,0.72,27.36
15,15,32,1.13,36.16
15,16,42,1.08,45.36
15,19,43,0.34,14.62
15,20,44,0.8,35.2
15,24,37,0.15,5.55
15,25,41,0.28,11.48
15,30,33,0.44,14.52
15,32,67,0.64,42.88
15,33,47,0.42,19.74
15,35,50,1.08,54.0
15,39,31,0.89,27.59
15,44,53,0.16,8.48
15,46,40,0.73,29.2
15,47,41,0.32,13.12
15,50,36,0.54,19.44
15,53,25,0.47,11.75
15,54,52,1.09,56.68
15,56,57,0.86,49.02
15,57,45,0.42,18.9
15,58,41,0.16,6.56
15,59,23,0.55,12.65
15,62,37,0.37,13.69
15,69,42,0.21,8.82
15,71,32,0.9,28.8
15,73,28,0.33,9.24
15,82,37,0.41,15.17
15,85,56,0.4,22.4
15,89,36,0.32,11.52
15,90,50,1.09,54.5
15,92,25,0.18,4.5
15,93,55,0.34,18.7
15,95,38,0.6,22.8
15,99,24,0.16,3.84
15,100,38,0.86,32.68
15,101,41,1.13,46.33
15,103,24,1.1,26.4
15,104,33,0.99,32.67
15,105,39,0.74,28.86
15,107,31,0.82,25.42
15,110,39,0.57,22.23
15,117,42,0.5,21.0
15,120,39,0.62,24.18
15,124,59,0.26,15.34
15,125,35,0.61,21.35
15,127,42,1.04,43.68
15,128,43,0.58,24.94
15,129,27,1.13,30.51
15,130,32,0.62,19.84
15,132,45,0.17,7.65
15,133,37,0.2,7.4
15,140,35,0.42,14.7
15,143,54,1.1,59.4
15,148,52,1.04,54.08
15,150,43,0.6,25.8
15,151,37,0.76,28.12
15,153,33,0.82,27.06
15,154,46,0.4,18.4
16,3,35,0.26,9.1
16,4,32,0.55,17.6
16,5,40,0.24,9.6
16,8,40,0.53,21.2
16,10,39,0.71,27.69
16,11,47,0.64,30.08
16,17,39,1.04,40.56
16,22,30,0.52,15.6
16,23,33,0.6,19.8
16,26,60,0.65,39.0
16,27,42,0.92,38.64
16,28,34,0.43,14.62
16,36,35,1.07,37.45
16,45,45,0.79,35.55
16,49,23,0.39,8.97
16,52,26,0.82,21.32
16,60,69,0.62,42.78
16,63,50,0.3,15.0
16,64,30,0.18,5.4
16,65,36,0.4,14.4
16,67,42,1.03,43.26
16,68,41,0.37,15.17
16,70,38,0.17,6.46
16,74,43,0.48,20.64
16,76,49,0.33,16.17
16,77,37,0.73,27.01
16,78,39,1.03,40.17
16,85,35,0.4,14.0
16,87,35,0.78,27.3
16,91,41,1.13,46.33
16,97,35,0.46,16.1
16,99,40,0.16,6.4
16,108,49,0.72,35.28
16,113,36,0.91,32.76
16,114,43,0.57,24.51
16,115,30,0.44,13.2
16,118,22,0.33,7.26
16,122,49,0.33,16.17
16,123,42,0.45,18.9
16,129,32,1.13,36.16
16,131,25,0.21,5.25
16,134,41,0.95,38.95
16,137,46,1.01,46.46
16,139,42,0.92,38.64
16,142,48,1.08,51.84
16,146,23,0.95,21.85
16,149,31,0.27,8.37
17,1,37,0.85,31.45
17,6,37,0.46,17.02
17,7,41,0.51,20.91
17,9,34,0.44,14.96
17,13,37,0.72,26.64
17,20,39,0.8,31.2
17,29,44,0.41,18.04
17,31,38,0.59,22.42
17,32,31,0.64,19.84
17,34,30,0.39,11.7
17,35,43,1.08,46.44
17,38,40,0.96,38.4
17,40,31,0.78,24.18
17,41,38,0.86,32.68
17,42,35,0.17,5.95
17,46,44,0.73,32.12
17,47,50,0.32,16.0
17,48,33,0.24,7.92
17,54,48,1.09,52.32
17,56,41,0.86,35.26
17,59,36,0.55,19.8
17,61,42,0.52,21.84
17,62,34,0.37,12.58
17,66,31,0.53,16.43
17,69,62,0.21,13.02
17,79,49,0.31,15.19
17,80,32,0.72,23.04
17,83,36,0.52,18.72
17,84,31,1.07,33.17
17,85,36,0.4,14.4
17,88,34,0.24,8.16
17,93,52,0.34,17.68
17,94,29,0.97,28.13
17,96,33,0.47,15.51
17,101,56,1.13,63.28
17,103,43,1.1,47.3
17,104,38,0.99,37.62
17,106,29,0.93,26.97
17,107,27,0.82,22.14
17,110,37,0.57,21.09
17,111,41,0.21,8.61
17,112,28,0.84,23.52
17,119,48,1.1,52.8
17,128,25,0.58,14.5
17,130,55,0.62,34.1
17,136,42,0.57,23.94
17,138,50,0.7,35.0
17,141,56,0.62,34.72
17,143,30,1.1,33.0
17,144,33,1.01,33.33
17,145,37,1.14,42.18
17,147,44,0.99,43.56
17,152,44,1.14,50.16
17,153,35,0.82,28.7
18,3,47,0.26,12.22
18,5,33,0.24,7.92
18,12,46,0.98,45.08
18,16,46,1.08,49.68
18,17,35,1.04,36.4
18,20,47,0.8,37.6
18,23,33,0.6,19.8
18,27,46,0.92,42.32
