ClienteID,ProductoID,CostoProducto,FechaCompra
129,120,407.42,2012-05-27
129,23,99.4,2012-05-27
24,81,58.02,2012-05-27
24,3,59.91,2012-05-27
24,101,119.33,2012-05-27
371,72,77.01,2012-05-28
371,27,185.07,2012-05-28
368,55,95.03,2012-05-28
96,117,403.81,2012-05-28
108,79,64.59,2012-05-28
349,2,62.89,2012-05-28
73,10,81.28,2012-05-28
135,99,120.72,2012-05-28
135,3,59.91,2012-05-28
414,66,93.11,2012-05-29
414,48,326.31,2012-05-29
346,76,63.03,2012-05-29
346,105,57.61,2012-05-29
346,121,434.9,2012-05-29
140,125,421.49,2012-05-29
140,3,59.91,2012-05-29
26,41,253.58,2012-05-30
426,52,81.82,2012-05-30
244,36,228.82,2012-05-30
5,58,101.73,2012-05-30
5,121,434.9,2012-05-30
368,47,318.82,2012-05-30
368,109,62.19,2012-05-30
368,82,73.72,2012-05-30
270,47,318.82,2012-05-30
3,46,312.37,2012-05-31
3,3,59.91,2012-05-31
3,116,415.94,2012-05-31
308,32,190.14,2012-05-31
308,29,182.49,2012-05-31
387,121,434.9,2012-05-31
282,45,232.86,2012-05-31
282,72,77.01,2012-05-31
282,66,93.11,2012-05-31
183,8,76.74,2012-06-01
183,121,434.9,2012-06-01
183,26,188.2,2012-06-01
35,125,421.49,2012-06-01
35,73,79.79,2012-06-01
251,82,73.72,2012-06-01
251,28,193.89,2012-06-01
251,122,418.85,2012-06-01
116,121,434.9,2012-06-01
116,34,222.17,2012-06-01
236,98,124.97,2012-06-02
236,108,63.14,2012-06-02
417,47,318.82,2012-06-02
417,36,228.82,2012-06-02
287,123,442.22,2012-06-02
287,96,98.41,2012-06-02
287,117,403.81,2012-06-02
223,46,312.37,2012-06-02
416,55,95.03,2012-06-02
416,21,99.24,2012-06-02
416,86,77.35,2012-06-02
428,3,59.91,2012-06-03
428,45,232.86,2012-06-03
428,16,90.74,2012-06-03
101,114,414.55,2012-06-03
101,47,318.82,2012-06-03
101,5,63.18,2012-06-03
275,51,78.02,2012-06-03
275,63,79.69,2012-06-03
275,16,90.74,2012-06-03
4,115,387.98,2012-06-03
4,11,76.03,2012-06-03
4,87,142.51,2012-06-03
55,111,47.68,2012-06-04
55,45,232.86,2012-06-04
55,56,105.53,2012-06-04
58,38,243.94,2012-06-04
58,31,177.82,2012-06-04
58,66,93.11,2012-06-04
64,110,49.25,2012-06-04
64,6,59.48,2012-06-04
288,61,77.22,2012-06-04
216,99,120.72,2012-06-04
135,100,113.81,2012-06-05
355,12,77.29,2012-06-05
355,33,243.03,2012-06-05
355,13,82.99,2012-06-05
291,121,445.15,2012-06-05
291,124,404.32,2012-06-05
291,101,117.18,2012-06-05
390,48,326.31,2012-06-05
288,126,436.83,2012-06-05
288,41,265.37,2012-06-05
153,71,76.05,2012-06-06
442,82,70.91,2012-06-06
442,3,59.48,2012-06-06
442,21,99.24,2012-06-06
292,32,200.09,2012-06-06
292,74,74.12,2012-06-06
57,58,97.79,2012-06-06
57,28,199.1,2012-06-06
94,68,91.14,2012-06-06
94,2,63.18,2012-06-06
233,5,63.18,2012-06-07
310,24,108.53,2012-06-07
378,114,400.33,2012-06-07
439,87,144.78,2012-06-07
439,49,304.42,2012-06-07
2,41,265.37,2012-06-07
177,36,236.35,2012-06-07
177,111,47.32,2012-06-07
164,37,261.52,2012-06-08
164,20,89.6,2012-06-08
164,84,79.1,2012-06-08
61,25,99.92,2012-06-08
407,82,70.91,2012-06-08
407,58,97.79,2012-06-08
353,50,83.96,2012-06-08
353,120,407.42,2012-06-08
290,26,188.2,2012-06-08
290,98,125.63,2012-06-08
290,30,192.38,2012-06-08
195,110,49.25,2012-06-09
195,73,84.44,2012-06-09
195,81,55.48,2012-06-09
253,87,144.78,2012-06-09
298,97,106.09,2012-06-09
298,41,265.37,2012-06-09
189,97,106.09,2012-06-09
171,125,415.11,2012-06-10
171,104,57.29,2012-06-10
171,21,99.24,2012-06-10
38,102,118.76,2012-06-10
210,109,62.19,2012-06-10
389,14,76.92,2012-06-10
389,93,92.7,2012-06-10
389,9,85.0,2012-06-10
182,13,82.99,2012-06-11
24,8,76.74,2012-06-11
24,84,79.1,2012-06-11
54,78,64.56,2012-06-11
54,59,76.25,2012-06-11
54,49,304.42,2012-06-11
251,15,91.78,2012-06-11
251,125,415.11,2012-06-11
294,28,199.1,2012-06-11
294,69,88.36,2012-06-11
294,125,415.11,2012-06-11
359,114,400.33,2012-06-12
359,95,106.29,2012-06-12
384,59,76.25,2012-06-12
14,87,144.78,2012-06-12
68,2,63.18,2012-06-12
2,125,415.11,2012-06-12
2,64,86.1,2012-06-12
283,7,63.22,2012-06-13
283,68,91.14,2012-06-13
283,123,462.16,2012-06-13
384,46,323.21,2012-06-13
46,80,59.33,2012-06-13
327,14,76.92,2012-06-13
59,116,415.94,2012-06-13
63,62,76.24,2012-06-13
63,80,59.33,2012-06-13
446,57,102.56,2012-06-14
248,77,62.37,2012-06-14
248,41,265.37,2012-06-14
319,14,76.92,2012-06-14
319,23,99.4,2012-06-14
319,79,64.59,2012-06-14
431,41,265.37,2012-06-14
431,75,80.44,2012-06-14
183,78,64.56,2012-06-14
183,60,81.7,2012-06-14
183,63,79.69,2012-06-14
6,65,88.85,2012-06-15
6,70,75.17,2012-06-15
6,12,77.29,2012-06-15
298,30,192.38,2012-06-15
298,17,97.45,2012-06-15
155,104,57.29,2012-06-15
30,23,99.4,2012-06-15
429,4,61.48,2012-06-15
250,112,49.45,2012-06-15
250,74,74.12,2012-06-15
250,97,106.09,2012-06-15
19,5,63.18,2012-06-16
19,28,199.1,2012-06-16
19,32,200.09,2012-06-16
71,64,86.1,2012-06-16
71,105,58.17,2012-06-16
71,109,62.19,2012-06-16
216,74,74.12,2012-06-16
216,108,63.06,2012-06-16
386,67,89.74,2012-06-16
386,75,80.44,2012-06-16
164,49,304.42,2012-06-17
164,117,403.81,2012-06-17
164,43,228.13,2012-06-17
270,118,381.55,2012-06-17
392,6,60.2,2012-06-17
392,118,381.55,2012-06-17
40,49,304.42,2012-06-17
40,13,82.99,2012-06-17
247,47,318.82,2012-06-17
247,55,95.03,2012-06-17
247,74,74.12,2012-06-17
337,53,81.14,2012-06-18
337,79,64.59,2012-06-18
337,42,247.07,2012-06-18
364,82,70.91,2012-06-18
364,14,76.92,2012-06-18
364,78,64.56,2012-06-18
92,59,76.25,2012-06-18
92,83,74.29,2012-06-18
321,116,415.94,2012-06-18
321,71,76.05,2012-06-18
321,90,146.12,2012-06-18
400,73,84.44,2012-06-19
400,56,105.53,2012-06-19
400,106,61.12,2012-06-19
426,34,223.08,2012-06-19
225,14,76.92,2012-06-19
225,119,421.09,2012-06-19
216,85,77.33,2012-06-19
216,51,78.02,2012-06-19
167,70,75.17,2012-06-20
167,64,86.1,2012-06-20
167,46,323.21,2012-06-20
161,47,318.82,2012-06-20
161,36,236.35,2012-06-20
380,74,74.12,2012-06-20
380,94,105.8,2012-06-20
268,100,113.81,2012-06-20
244,57,102.56,2012-06-21
70,19,91.05,2012-06-21
215,91,95.23,2012-06-21
215,26,188.2,2012-06-21
39,25,99.92,2012-06-21
39,24,108.53,2012-06-21
33,88,139.98,2012-06-21
33,110,49.25,2012-06-21
87,33,243.03,2012-06-21
87,76,64.47,2012-06-21
87,74,74.12,2012-06-21
294,17,97.45,2012-06-22
294,84,79.1,2012-06-22
23,58,97.79,2012-06-22
23,123,462.16,2012-06-22
23,17,97.45,2012-06-22
119,68,91.14,2012-06-22
379,106,61.12,2012-06-22
445,18,89.96,2012-06-22
445,12,77.29,2012-06-22
186,38,253.89,2012-06-23
186,65,88.85,2012-06-23
95,125,415.11,2012-06-23
396,74,74.12,2012-06-23
6,48,326.31,2012-06-23
179,56,105.53,2012-06-23
179,88,139.98,2012-06-23
356,30,192.38,2012-06-23
356,8,76.74,2012-06-23
356,116,415.94,2012-06-23
57,94,105.8,2012-06-24
18,61,77.28,2012-06-24
18,96,102.24,2012-06-24
325,109,62.19,2012-06-24
325,103,58.21,2012-06-24
325,27,185.07,2012-06-24
316,125,415.11,2012-06-24
396,49,304.42,2012-06-24
206,2,63.18,2012-06-25
262,46,323.21,2012-06-25
262,73,84.44,2012-06-25
200,119,421.09,2012-06-25
200,31,170.25,2012-06-25
200,21,99.24,2012-06-25
168,21,99.24,2012-06-25
407,2,63.18,2012-06-26
345,103,58.21,2012-06-26
345,16,90.74,2012-06-26
345,52,81.82,2012-06-26
421,39,263.3,2012-06-26
294,51,78.02,2012-06-26
155,56,105.53,2012-06-26
155,78,64.56,2012-06-26
26,93,92.7,2012-06-27
26,123,462.16,2012-06-27
26,82,70.91,2012-06-27
422,50,83.96,2012-06-27
422,23,99.4,2012-06-27
429,85,77.33,2012-06-27
59,49,304.42,2012-06-27
59,115,372.56,2012-06-27
59,24,108.53,2012-06-27
345,78,64.56,2012-06-28
387,42,247.07,2012-06-28
387,74,74.12,2012-06-28
387,125,415.11,2012-06-28
144,91,95.23,2012-06-28
292,33,243.03,2012-06-28
292,18,89.96,2012-06-28
292,97,106.09,2012-06-28
176,27,185.07,2012-06-28
312,98,125.63,2012-06-28
312,70,75.17,2012-06-28
312,67,89.74,2012-06-28
408,109,62.19,2012-06-29
408,12,77.29,2012-06-29
408,103,58.21,2012-06-29
220,89,139.32,2012-06-29
220,13,82.99,2012-06-29
256,100,113.81,2012-06-29
256,29,184.77,2012-06-29
396,85,77.33,2012-06-29
396,50,83.96,2012-06-29
331,92,96.29,2012-06-30
331,90,146.12,2012-06-30
315,87,144.78,2012-06-30
315,102,118.76,2012-06-30
376,94,105.8,2012-06-30
376,40,262.88,2012-06-30
376,97,106.09,2012-06-30
105,35,202.4,2012-07-01
105,66,98.46,2012-07-01
348,93,92.7,2012-07-01
348,41,265.37,2012-07-01
208,81,55.48,2012-07-01
229,29,184.77,2012-07-01
229,46,323.21,2012-07-01
229,63,79.69,2012-07-01
36,71,76.05,2012-07-02
36,83,74.29,2012-07-02
277,104,57.29,2012-07-02
277,115,372.56,2012-07-02
277,26,188.2,2012-07-02
426,31,170.25,2012-07-02
426,20,89.6,2012-07-02
26,49,304.42,2012-07-03
134,110,49.25,2012-07-03
116,109,62.19,2012-07-03
116,89,139.32,2012-07-03
116,28,199.1,2012-07-03
69,42,250.52,2012-07-03
69,21,99.24,2012-07-03
69,95,106.29,2012-07-03
286,109,62.19,2012-07-04
281,70,75.17,2012-07-04
388,91,98.31,2012-07-04
388,104,57.29,2012-07-04
76,113,49.94,2012-07-04
76,112,47.88,2012-07-04
76,61,80.43,2012-07-04
326,54,84.3,2012-07-04
326,109,62.19,2012-07-04
326,124,391.53,2012-07-04
93,78,64.6,2012-07-05
93,48,326.31,2012-07-05
8,90,146.12,2012-07-05
8,99,122.85,2012-07-05
64,86,76.03,2012-07-05
123,120,407.42,2012-07-05
95,108,63.06,2012-07-05
95,36,226.66,2012-07-05
300,114,383.55,2012-07-06
143,47,318.82,2012-07-06
143,29,193.8,2012-07-06
144,25,102.57,2012-07-06
144,99,122.85,2012-07-06
144,72,77.01,2012-07-06
204,117,395.96,2012-07-06
204,46,323.21,2012-07-06
55,48,326.31,2012-07-06
347,91,98.31,2012-07-06
429,93,92.7,2012-07-07
429,15,91.78,2012-07-07
429,20,89.6,2012-07-07
379,124,391.53,2012-07-07
13,85,77.33,2012-07-07
19,58,97.79,2012-07-07
19,107,58.02,2012-07-07
174,67,89.74,2012-07-08
151,29,193.8,2012-07-08
151,92,96.29,2012-07-08
392,65,88.85,2012-07-08
392,27,185.07,2012-07-08
178,23,103.92,2012-07-08
178,95,106.29,2012-07-08
178,88,139.98,2012-07-08
324,31,170.25,2012-07-08
324,41,273.34,2012-07-08
269,2,60.32,2012-07-09
269,7,63.8,2012-07-09
269,61,80.43,2012-07-09
338,3,59.48,2012-07-09
323,110,49.25,2012-07-09
323,19,91.05,2012-07-09
323,85,77.33,2012-07-09
251,19,91.05,2012-07-10
251,120,407.42,2012-07-10
251,94,105.8,2012-07-10
257,33,247.45,2012-07-10
257,31,170.25,2012-07-10
257,122,410.58,2012-07-10
83,108,63.06,2012-07-10
83,103,58.21,2012-07-10
3,16,87.38,2012-07-10
110,18,89.96,2012-07-11
85,7,63.8,2012-07-11
85,46,323.21,2012-07-11
85,78,64.6,2012-07-11
142,79,64.59,2012-07-11
142,125,415.11,2012-07-11
199,118,381.55,2012-07-11
199,111,47.32,2012-07-11
262,78,64.6,2012-07-11
190,18,89.96,2012-07-11
190,27,185.07,2012-07-11
190,46,323.21,2012-07-11
419,47,318.82,2012-07-12
419,99,122.85,2012-07-12
158,85,77.33,2012-07-12
350,126,423.53,2012-07-12
350,79,64.59,2012-07-12
350,83,74.29,2012-07-12
389,125,415.11,2012-07-12
110,79,64.59,2012-07-12
110,10,80.98,2012-07-12
110,44,229.63,2012-07-12
210,52,81.82,2012-07-13
36,70,75.17,2012-07-13
36,76,64.47,2012-07-13
36,88,139.98,2012-07-13
173,8,75.24,2012-07-13
431,77,59.39,2012-07-13
431,116,415.94,2012-07-13
431,111,47.32,2012-07-13
342,46,323.21,2012-07-13
342,53,81.14,2012-07-13
151,23,103.92,2012-07-14
376,106,61.12,2012-07-14
205,21,99.24,2012-07-14
205,68,91.14,2012-07-14
205,125,415.11,2012-07-14
132,113,49.94,2012-07-14
342,26,196.75,2012-07-14
446,51,77.8,2012-07-14
446,7,63.8,2012-07-14
179,5,63.18,2012-07-15
179,35,202.4,2012-07-15
205,45,214.97,2012-07-15
205,58,97.79,2012-07-15
218,66,102.75,2012-07-15
218,109,62.19,2012-07-15
133,48,326.31,2012-07-15
133,94,105.8,2012-07-15
304,115,392.63,2012-07-15
123,113,49.94,2012-07-15
81,54,84.3,2012-07-16
81,37,261.52,2012-07-16
105,77,59.39,2012-07-16
105,11,78.09,2012-07-16
361,74,73.17,2012-07-16
361,8,75.24,2012-07-16
361,91,98.31,2012-07-16
247,93,92.7,2012-07-16
247,34,223.08,2012-07-16
247,87,144.75,2012-07-16
240,31,170.25,2012-07-17
240,70,75.17,2012-07-17
240,64,86.1,2012-07-17
440,26,196.75,2012-07-17
440,78,64.6,2012-07-17
173,53,81.14,2012-07-17
142,33,247.45,2012-07-17
433,70,75.17,2012-07-17
117,10,80.98,2012-07-18
117,108,63.06,2012-07-18
117,60,81.7,2012-07-18
73,64,86.1,2012-07-18
73,45,214.97,2012-07-18
391,113,49.94,2012-07-18
391,107,58.02,2012-07-18
391,55,98.37,2012-07-18
335,28,199.1,2012-07-18
335,101,117.18,2012-07-18
335,26,196.75,2012-07-18
440,126,423.53,2012-07-19
273,34,223.08,2012-07-19
313,109,62.19,2012-07-19
412,32,200.09,2012-07-19
412,77,59.39,2012-07-19
412,101,117.18,2012-07-19
180,81,55.48,2012-07-19
180,125,415.11,2012-07-19
52,14,76.92,2012-07-20
52,82,69.12,2012-07-20
52,10,80.98,2012-07-20
61,106,61.12,2012-07-20
61,29,193.8,2012-07-20
61,71,76.36,2012-07-20
188,6,60.2,2012-07-20
188,79,64.59,2012-07-20
111,71,76.36,2012-07-21
111,37,261.52,2012-07-21
232,54,84.3,2012-07-21
232,32,200.09,2012-07-21
70,121,445.15,2012-07-21
70,101,117.18,2012-07-21
16,100,113.81,2012-07-21
16,65,88.85,2012-07-21
16,47,318.82,2012-07-21
312,17,97.45,2012-07-21
312,43,223.68,2012-07-21
312,2,60.32,2012-07-21
76,37,261.52,2012-07-22
76,98,125.63,2012-07-22
271,13,86.61,2012-07-22
271,51,77.8,2012-07-22
271,28,199.1,2012-07-22
44,82,69.12,2012-07-22
401,91,98.31,2012-07-22
290,103,58.21,2012-07-22
158,50,80.14,2012-07-22
436,18,89.96,2012-07-22
436,65,88.85,2012-07-22
307,35,202.4,2012-07-23
180,89,139.32,2012-07-23
373,11,78.09,2012-07-23
373,44,229.63,2012-07-23
373,67,89.74,2012-07-23
304,107,58.02,2012-07-23
304,120,407.42,2012-07-23
312,41,273.34,2012-07-23
82,63,79.69,2012-07-24
82,12,76.76,2012-07-24
44,21,99.24,2012-07-24
82,116,415.94,2012-07-24
82,66,102.75,2012-07-24
376,121,445.15,2012-07-24
133,104,57.29,2012-07-24
440,52,81.82,2012-07-25
440,80,59.33,2012-07-25
440,75,80.44,2012-07-25
263,102,118.76,2012-07-25
263,37,261.52,2012-07-25
123,14,76.92,2012-07-25
123,15,91.78,2012-07-25
123,123,470.71,2012-07-25
100,28,199.1,2012-07-26
100,111,47.32,2012-07-26
100,39,260.32,2012-07-26
409,112,47.88,2012-07-26
351,28,199.1,2012-07-26
123,48,326.31,2012-07-26
123,38,255.38,2012-07-26
240,101,117.18,2012-07-26
240,32,200.09,2012-07-26
240,123,470.71,2012-07-26
198,48,326.31,2012-07-27
283,112,47.88,2012-07-27
283,29,193.8,2012-07-27
283,100,113.81,2012-07-27
299,4,59.4,2012-07-27
243,60,81.7,2012-07-27
243,55,98.37,2012-07-27
369,93,92.7,2012-07-27
369,37,261.52,2012-07-27
127,50,80.14,2012-07-28
127,11,78.09,2012-07-28
127,107,58.02,2012-07-28
238,9,85.0,2012-07-28
238,58,97.79,2012-07-28
238,51,77.8,2012-07-28
41,31,170.25,2012-07-28
448,32,200.09,2012-07-29
448,17,97.45,2012-07-29
448,102,118.76,2012-07-29
386,61,80.43,2012-07-29
244,84,79.1,2012-07-29
397,92,96.29,2012-07-29
397,85,77.33,2012-07-29
397,110,49.25,2012-07-29
93,44,229.63,2012-07-29
93,97,106.09,2012-07-29
156,112,47.88,2012-07-30
156,87,144.75,2012-07-30
341,97,106.09,2012-07-30
341,67,89.74,2012-07-30
341,113,49.94,2012-07-30
407,68,91.14,2012-07-30
407,113,49.94,2012-07-30
186,34,223.08,2012-07-31
186,71,76.36,2012-07-31
186,86,76.03,2012-07-31
206,76,64.47,2012-07-31
206,121,445.15,2012-07-31
28,122,410.58,2012-07-31
28,114,383.55,2012-07-31
28,100,113.81,2012-07-31
189,75,80.44,2012-08-01
189,54,84.3,2012-08-01
398,13,86.61,2012-08-01
398,60,81.7,2012-08-01
398,78,64.6,2012-08-01
338,120,407.42,2012-08-01
338,64,86.1,2012-08-01
306,53,81.14,2012-08-01
168,46,323.21,2012-08-01
168,7,63.8,2012-08-01
397,11,78.09,2012-08-02
397,13,86.61,2012-08-02
397,49,304.42,2012-08-02
170,23,103.92,2012-08-02
170,51,77.8,2012-08-02
170,120,407.42,2012-08-02
254,2,60.32,2012-08-02
246,4,59.4,2012-08-02
246,99,122.85,2012-08-02
246,19,91.05,2012-08-02
128,125,415.11,2012-08-03
128,64,86.1,2012-08-03
137,105,58.17,2012-08-03
137,100,113.81,2012-08-03
34,9,85.0,2012-08-03
34,57,102.56,2012-08-03
34,120,407.42,2012-08-03
32,26,196.75,2012-08-03
110,80,59.33,2012-08-03
110,47,318.82,2012-08-03
126,17,97.45,2012-08-04
126,6,60.2,2012-08-04
126,58,97.79,2012-08-04
250,15,91.78,2012-08-04
197,33,247.45,2012-08-04
197,70,75.17,2012-08-04
197,25,102.57,2012-08-04
76,47,318.82,2012-08-05
76,88,139.98,2012-08-05
76,9,85.0,2012-08-05
369,11,78.09,2012-08-05
369,51,77.8,2012-08-05
248,92,96.29,2012-08-05
248,112,47.88,2012-08-05
63,19,91.05,2012-08-06
63,111,47.32,2012-08-06
63,41,273.34,2012-08-06
6,48,326.31,2012-08-06
6,100,113.81,2012-08-06
45,126,423.53,2012-08-06
45,111,47.32,2012-08-06
45,125,415.11,2012-08-06
323,14,76.92,2012-08-06
323,19,91.05,2012-08-06
323,10,80.98,2012-08-06
247,91,98.31,2012-08-07
247,66,102.75,2012-08-07
247,61,80.43,2012-08-07
114,23,102.88,2012-08-07
114,45,214.97,2012-08-07
114,58,103.21,2012-08-07
107,30,192.38,2012-08-07
107,103,58.21,2012-08-07
107,45,214.97,2012-08-07
52,89,143.62,2012-08-07
52,96,102.24,2012-08-07
52,10,80.98,2012-08-07
191,76,64.47,2012-08-08
191,40,262.88,2012-08-08
191,86,73.77,2012-08-08
281,33,247.45,2012-08-08
194,12,73.12,2012-08-08
194,31,170.25,2012-08-08
194,45,214.97,2012-08-08
446,67,89.74,2012-08-09
158,43,233.16,2012-08-09
158,80,62.27,2012-08-09
411,32,200.27,2012-08-09
411,105,58.17,2012-08-09
411,79,64.59,2012-08-09
207,49,307.6,2012-08-09
207,83,74.29,2012-08-09
207,89,143.62,2012-08-09
44,14,76.92,2012-08-10
44,37,275.01,2012-08-10
25,115,395.29,2012-08-10
25,102,124.21,2012-08-10
25,38,255.38,2012-08-10
58,28,210.52,2012-08-10
58,20,89.6,2012-08-10
182,92,96.29,2012-08-10
443,45,214.97,2012-08-10
443,26,200.69,2012-08-10
443,108,62.09,2012-08-10
312,114,389.54,2012-08-11
312,15,91.78,2012-08-11
312,87,144.02,2012-08-11
273,49,307.6,2012-08-11
273,20,89.6,2012-08-11
273,123,495.34,2012-08-11
75,42,250.52,2012-08-11
75,95,108.47,2012-08-11
261,32,200.27,2012-08-12
447,54,87.59,2012-08-12
447,10,80.98,2012-08-12
447,16,87.38,2012-08-12
339,84,79.1,2012-08-12
279,15,91.78,2012-08-12
279,94,101.98,2012-08-12
242,62,80.0,2012-08-12
242,72,77.01,2012-08-12
242,113,52.53,2012-08-12
416,115,395.29,2012-08-13
416,5,63.18,2012-08-13
39,21,100.34,2012-08-13
45,31,170.25,2012-08-13
154,6,60.2,2012-08-13
154,107,55.21,2012-08-13
181,28,210.52,2012-08-13
181,99,122.85,2012-08-13
181,112,47.0,2012-08-13
313,8,75.24,2012-08-14
313,85,73.64,2012-08-14
313,44,222.23,2012-08-14
258,34,223.08,2012-08-14
409,100,113.81,2012-08-14
409,59,76.23,2012-08-14
343,109,62.19,2012-08-14
343,22,94.63,2012-08-14
343,117,382.62,2012-08-14
416,79,64.59,2012-08-14
133,78,64.6,2012-08-15
133,20,89.6,2012-08-15
200,84,79.1,2012-08-15
200,3,59.48,2012-08-15
200,70,72.06,2012-08-15
167,106,61.55,2012-08-15
167,19,93.32,2012-08-15
202,115,395.29,2012-08-15
242,47,308.7,2012-08-15
242,42,250.52,2012-08-15
242,125,415.11,2012-08-15
402,8,75.24,2012-08-16
402,5,63.18,2012-08-16
402,78,64.6,2012-08-16
114,9,88.89,2012-08-16
15,53,81.14,2012-08-16
15,38,255.38,2012-08-16
63,18,89.96,2012-08-16
63,80,62.27,2012-08-16
166,96,102.24,2012-08-16
209,121,445.15,2012-08-17
272,21,100.34,2012-08-17
147,31,170.25,2012-08-17
147,69,90.84,2012-08-17
147,67,89.74,2012-08-17
403,112,47.0,2012-08-17
403,27,185.07,2012-08-17
403,17,100.67,2012-08-17
354,90,146.12,2012-08-18
354,100,113.81,2012-08-18
